State,Name,First
AL,Alabama,3/24/2020
AK,Alaska,3/28/2020
AZ,Arizona,3/31/2020
AR,Arkansas,
CA,California,3/19/2020
CO,Colorado,3/26/2020
CT,Connecticut,3/23/2020
DE,Delaware,3/24/2020
FL,Florida,4/3/2020
GA,Georgia,4/3/2020
HI,Hawaii,3/25/2020
ID,Idaho,3/25/2020
IL,Illinois,3/21/2020
IN,Indiana,3/24/2020
IA,Iowa,
KS,Kansas,3/30/2020
KY,Kentucky,3/26/2020
LA,Louisiana,3/23/2020
ME,Maine,4/2/2020
MD,Maryland,3/30/2020
MA,Massachusetts,3/24/2020
MI,Michigan,3/24/2020
MN,Minnesota,3/27/2020
MS,Mississippi,4/3/2020
MO,Missouri,3/24/2020
MT,Montana,3/28/2020
NE,Nebraska,
NV,Nevada,4/1/2020
NH,New Hampshire,3/27/2020
NJ,New Jersey,3/21/2020
NM,New Mexico,3/24/2020
NY,New York,3/22/2020
NC,North Carolina,3/30/2020
ND,North Dakota,
OH,Ohio,3/23/2020
OK,Oklahoma,3/28/2020
OR,Oregon,3/23/2020
PA,Pennsylvania,4/1/2020
RI,Rhode Island,3/28/2020
SC,South Carolina,3/26/2020
SD,South Dakota,
TN,Tennessee,3/31/2020
TX,Texas,3/23/2020
UT,Utah,3/30/2020
VT,Vermont,3/25/2020
VA,Virginia,3/30/2020
WA,Washington,3/23/2020
WV,West Virginia,3/24/2020
WI,Wisconsin,3/25/2020
WY,Wyoming,3/28/2020
DC,District of Columbia,4/1/2020
